town,state,name,capacity
Keizer,OR,Volcanoes Stadium,4254
Kelowna,BC,Prospera Place,6007
Kenner,LA,Pontchartrain Center,3600
Kennesaw,GA,Fifth Third Bank Stadium,8300
Kennesaw,GA,KSU Convocation Center,4600
Kennewick,WA,Toyota Center,5734
Kent,OH,Dix Stadium,25319
 Kent,OH,Memorial Athletic & Convocation Center,6327
Kent,WA,ShoWare Center,6025
Kettering,OH,James S. Trent Arena,3650
Kingston,ON,Leon’s Centre,5614
 Kingston,RI,Thomas M. Ryan Center,7657
Kingsville,TX,Javelina Stadium,12500
Kingsville,TX,Steinke Center,4000
Kinston,NC,Grainger Stadium,4100
Kissimmee,FL,Silver Spurs Arena,8500
Kitchener,ON,Kitchener Memorial Auditorium,7131
Knoxville,TN,Neyland Stadium,102455
Knoxville,TN,Boling Arena,21678
Knoxville,TN,Knoxville Civic Coliseum,4973
Knoxville,TN,Lindsey Nelson Stadium,4283
Kodak,TN,Smokies Stadium,6000
La Crosse,WI,Copeland Park,3550
Lafayette,LA,Cajun Field,41426
Lafayette,LA,Cajundome,12362
Lafayette,LA,M.L. Tigue Moore Field,3755
Laie,HI,Cannon Activities Center,4500
Lake Buena Vista,FL,HP Field House,5000
Lake Charles,LA,Cowboy Stadium,17610
Lake Charles,LA,Burton Coliseum,8500
Lake Charles,LA,H&HP Complex,4200
Lake Elsinore,CA,The Diamond,6066
Lakeland,FL,Joker Marchant Stadium,8500
Lakeland,FL,Jenkins Arena,8178
Lake Placid,NY,Herb Brooks Arena,7700
Lakewood,NJ,FirstEnergy Park,6588
Lancaster,CA,The Hangar,4600
Lancaster,PA,Clipper Magazine Stadium,6000
Landover,MD,FedEx Field,82000
Langley,BC,Langley Events Centre,5276
Lansing,MI,Cooley Law School Stadium,7300
Laramie,WY,War Memorial Stadium,29181
Laramie,WY,Auditorium,11445
Laredo,TX,Laredo Energy Arena,8665
Laredo,TX,Trade Stadium,6000
Las Cruces,NM,Aggie Memorial Stadium,30343
Las Cruces,NM,Pan American Center,12575
Las Vegas,NM,John A. Wilson Complex,4250
Las Vegas,NV,Sam Boyd Stadium,35500
Las Vegas,NV,Thomas & Mack Center,18000
Las Vegas,NV,Mobile Arena,17500
Las Vegas,NV,Mandalay Bay Events Center,12000
Las Vegas,NV,Cashman Field,9334
Las Vegas,NV,Las Vegas Ballpark,8000
Las Vegas,NV,Orleans Arena,7051
Laval,QC,Bell Place,9449
Lawrence,KS,David Booth Kansas Memorial Stadium,50071
Lawrence,KS,Allen Fieldhouse,16300
Lawrenceville,GA,Coolray Field,10427
Lethbridge,AB,ENMAX Centre,4093
Lewisburg,PA,Memorial Stadium,13100
Lewisburg,PA,Sojka Pavilion,4000
Lewiston,ME,Androscoggin Bank Colisée,3682
Lexington,KY,Kroger Field,61000
Lexington,KY,Rupp Arena,23500
Lexington,KY,Memorial Coliseum,8500
Lexington,KY,Whitaker Bank Ballpark,5061
Lexington,VA,Foster Stadium,10000
Lexington,VA,Cameron Hall,5000
Lincoln,NE,Memorial Stadium,86047
Lincoln,NE,Pinnacle Bank Arena,15000
Lincoln,NE,Haymarket Park,8486
Lincoln,NE,Bob Devaney Sports Center,7907
Lincoln,NE,Ice Box,4212
Little Falls,NJ,Yogi Berra Stadium,3784
Little Rock,AR,War Memorial Stadium,54120
Little Rock,AR,Jack Stephens Center,5600
Logan,UT,Maverik Stadium,25100
Logan,UT,Dee Glen Smith Spectrum,10270
Logansport,IN,Berry Bowl,5873
London,ON,Budweiser Gardens,9036
London,ON,Labatt Park,5200
Long Beach,CA,Walter Pyramid,4200
Los Angeles,CA,Los Angeles Memorial Coliseum,77500
Los Angeles,CA,Dodger Stadium,56000
Los Angeles,CA,Banc of California Stadium,22000
Los Angeles,CA,Staples Center,19079
 Los Angeles,CA,Pauley Pavilion,13800
 Los Angeles,CA,Drake Stadium,11700
Los Angeles,CA,Galen Center,10258
Los Angeles,CA,Gersten Pavilion,4156
Louisville,KY,Cardinal Stadium,60000
Louisville,KY,KFC Yum! Center,22000
Louisville,KY,Louisville Slugger Field,13131
Louisville,KY,Lynn Family Stadium,11600
Louisville,KY,Jim Patterson Stadium,4000
Loveland,CO,Budweiser Event Center,5289
Lowell,MA,Tsongas Center,6003
Lowell,MA,LeLacheur Park,4767
Lubbock,TX,Jones AT&T Stadium,60454
Lubbock,TX,United Supermarkets Arena,15098
Lubbock,TX,Dan Law Field,4432
Lynchburg,VA,Williams Stadium,25000
Lynchburg,VA,Vines Center,8085
Lynchburg,VA,Calvin Falwell Field,4281
Lynn,MA,Fraser Field,3804
Macomb,IL,Hanson Field,16368
Macomb,IL,Western Hall,5139
Macon,GA,Five Star Stadium,10200
Macon,GA,Macon Coliseum,7182
Macon,GA,Luther Williams Field,3500
Macon,GA,Hawkins Arena,3500
Madison,WI,Camp Randall Stadium,80321
Madison,WI,Kohl Center,17287
Madison,WI,UW Field House,10600
Madison,WI,Veterans Memorial Coliseum,7890
Madison,WI,Warner Park,6750
Manchester,NH,SNHU Arena,10019
Manchester,NH,Northeast Delta Dental Stadium,6500
Manhattan,KS,Bill Snyder Family Stadium,50000
Manhattan,KS,Bramlage Coliseum,12528
Manhattan,KS,Ahearn Field House,5000
Mankato,MN,Mayo Clinic Health System Event Center,4832
Mankato,MN,Taylor Center,4800
Mansfield,OH,Arlin Field,14000
Marion,IL,Rent One Park,4500
Marion,IN,Bill Green Athletic Arena,7560
Marquette,MI,Superior Dome,8000
Marquette,MI,Berry Events Center,4260
Marshall,MN,Recreation/Athletic Facility,4000
Martin,TN,Elam Center,4300
Martinsville,IN,John Wooden Gymnasium,5500
Mason,OH,Lindner Family Tennis Center,11435
McKinney,TX,McKinney ISD Stadium,12000
Medicine Hat,AB,Canalta Centre,6016
Memphis,TN,Liberty Bowl Memorial Stadium,58318
Memphis,TN,FedEx Forum,18400
Memphis,TN,AutoZone Park,13480
Mesa,AZ,Sloan Park,10800
Mesa,AZ,Hohokam Stadium,7400
Mesquite,TX,Mesquite Arena,5550
Metairie,LA,Shrine on Airline,10000
Miami Gardens,FL,Hard Rock Stadium,65326
Miami,FL,Marlins Park,36742
Miami,FL,American Airlines Arena,19600
Miami,FL,Riccardo Silva Stadium,20000
Miami,FL,Ocean Bank Convocation Center,5000
Michigan City,IN,Michigan City High School Gym,7304
Midland,MI,Dow Diamond,3500
Midland,TX,Grande Communications Stadium,15000
Midland,TX,Security Bank Ballpark,6669
Midland,TX,Al G. Langford Chaparral Center,4500
Midland,TX,Christensen Stadium,4000
Milledgeville,GA,Centennial Center,4071
Millington,TN,USA Stadium,5000
Milwaukee,WI,Miller Park,41900
Milwaukee,WI,Fiserv Forum,17500
Milwaukee,WI,UWM Panther Arena,9450
Milwaukee,WI,Al McGuire Center,4000
Minneapolis,MN,U.S. Bank Stadium,66665
Minneapolis,MN,TCF Bank Stadium,50850
Minneapolis,MN,Target Field,38885
Minneapolis,MN,Target Center,18798
Minneapolis,MN,Williams Arena,14625
Minneapolis,MN,3M Arena at Mariucci,10000
Minneapolis,MN,Maturi Pavilion,5840
Minot,ND,Minot State Dome,9600
Mississauga,ON,Paramount Fine Foods Centre,5420
Missoula,MT,Grizzly Stadium,25217
Missoula,MT,Dahlberg Arena,7322
Missoula,MT,Ogren Park at Allegiance Field,3500
Mobile,AL,Peebles Stadium,33471
Mobile,AL,Mitchell Center,10000
Mobile,AL,Hank Aaron Stadium,6000
Mobile,AL,Stanky Field,3775
Modesto,CA,John Thurman Field,4000
Moline,IL,TaxSlayer Center,9000
Moncton,NB,Avenir Centre,8750
Monroe,LA,Malone Stadium,27617
 Monroe,LA,Ewing Coliseum,7000
Montgomery,AL,ASU Stadium,26500
Montgomery,AL,Cramton Bowl,25000
Montgomery,AL,Garrett Coliseum,8500
Montgomery,AL,Oliver Acadome,7400
Montgomery,AL,Paterson Field,7000
Montgomery,AL,Riverwalk Stadium,6000
Montreal,QC,Olympic Stadium,59020
Montreal,QC,Percival Molson Memorial Stadium,23420
Montreal,QC,Bell Centre,21288
Montreal,QC,Saputo Stadium,20801
Montreal,QC,IGA Stadium,11715
Moon Township,PA,UPMC Events Center,4000
Moose Jaw,SK,Mosaic Place,4414
Moosic,PA,PNC Field,7115
Moraga,CA,McKeon Pavilion,3500
Morehead,KY,Jayne Stadium,10000
Morehead,KY,Ellis T. Johnson Arena,6500
Morehead,KY,Wetherby Gym,3500
Morgantown,WV,Milan Puskar Stadium,60000
Morgantown,WV,WVU Coliseum,14000
Moscow,ID,Kibbie Dome,16000
Mount Pleasant,MI,Kelly/Shorts Stadium,30255
Mount Pleasant,MI,McGuirk Arena,5300
Muncie,IN,Scheumann Stadium,22500
Muncie,IN,Worthen Arena,11500
Murfreesboro,TN,Johnny Floyd Stadium,30788
Murfreesboro,TN,Murphy Center,11520
Murray,KY,Roy Stewart Stadium,16800
Murray,KY,CFSB Center,8600
Murray,KY,Racer Arena,5500
Muskegon,MI,Mercy Health Arena,4200
Myrtle Beach,SC,TicketReturn.com Field,4800
Nacogdoches,TX,Homer Bryce Stadium,14575
 Nacogdoches,TX,William R Johnson Coliseum,7203
Nampa,ID,Ford Idaho Center,12657
Nashville,TN,Nissan Stadium,69143
Nashville,TN,Vanderbilt Stadium,40350
Nashville,TN,Bridgestone Arena,17113
Nashville,TN,W.J. Hale Stadium,15000
Nashville,TN,Memorial Gymnasium,14316
Nashville,TN,Gentry Center,9100
Nashville,TN,First Tennessee Park,8500
Nashville,TN,Allen Arena,5028
Nashville,TN,Curb Event Center,5000
Nashville,TN,Charles Hawkins Field,3626
 Natchitoches,LA,Turpin Stadium,15971
Newark,DE,Delaware Stadium,22000
Newark,DE,Bob Carpenter Center,5000
Newark,NJ,Prudential Center,17625
Newark,NJ,Wellness and Events Center,3500
New Britain,CT,New Britain Stadium,6146
New Castle,IN,New Castle Fieldhouse,7829
New Haven,CT,Yale Bowl,61446
New Haven,CT,Ingalls Rink,3500
New Orleans,LA,Benz Superdome,73208
New Orleans,LA,Yulman Stadium,30000
New Orleans,LA,Smoothie King Center,16867
New Orleans,LA,Lakefront Arena,8785
New Orleans,LA,Turchin Stadium,5000
New Orleans,LA,Fogelman Arena,3600
New York,NY,Madison Square Garden,18006
New York,NY,Lawrence A. Wien Stadium,17000
Niagara Falls,NY,Sal Maglie Stadium,4000
Niles,OH,Eastwood Field,6000
Norfolk,VA,Dick Price Stadium,30000
Norfolk,VA,S.B Ballard Stadium,22480
Norfolk,VA,Harbor Park,11856
Norfolk,VA,Norfolk Scope,8701
Norfolk,VA,Ted Constant Convocation Center,8472
Norfolk,VA,Echols Hall,4500
Normal,IL,Hancock Stadium,13391
Normal,IL,Redbird Arena,10200
Normal,IL,The Corn Crib,4200
Norman,OK,Oklahoma Memorial Stadium,83489
Norman,OK,Lloyd Noble Center,11562
Norman,OK,McCasland Field House,4640
North Augusta,SC,Segra Park,4782
North Bay,ON,North Bay Memorial Gardens,4043
North Charleston,SC,North Charleston Coliseum,10537
North Little Rock,AR,Verizon Arena,18000
North Little Rock,AR,Stephens Park,7000
North Port,FL,CoolToday Park,6200
Norwich,CT,Dodd Stadium,6270
Oakland,CA,Oakland Coliseum,46847
Oakland,CA,Oakland Arena,17200
Odessa,TX,Ratliff Stadium,17931
Odessa,TX,Ector County Coliseum,4725
O'Fallon,MO,CarShield Field,4989
Ogden,UT,Stewart Stadium,17500
Ogden,UT,Dee Events Center,11500
Ogden,UT,Lindquist Field,6700
Oklahoma City,OK,Chesapeake Energy Arena,18203
Oklahoma City,OK,Chickasaw Bricktown Ballpark,13066
Oklahoma City,OK,Cox Convention Center,12860
Oklahoma City,OK,Jim Norick Arena,8500
Olean,NY,Reilly Center,5480
Omaha,NE,TD Ameritrade Park Omaha,24000
Omaha,NE,CHI Health Center Omaha,17352
Omaha,NE,Baxter Arena,7898
Ontario,CA,Toyota Arena,9491
Orangeburg,SC,Oliver C. Dawson Stadium,22000
Orchard Park,NY,New Era Field,71608
Orem,UT,UCCU Center,8500
Orlando,FL,Camping World Stadium,65000
Orlando,FL,Spectrum Stadium,44206
Orlando,FL,Orlando City Stadium,25500
Orlando,FL,Amway Center,18500
Orlando,FL,CFE Arena,10000
Orlando,FL,John Euliano Park,3841
Orono,ME,Alfond Stadium,10000
Orono,ME,Alfond Arena,5124
Orono,ME,Mahaney Diamond,4400
Oshawa,ON,Tribute Communities Centre,5180
Oshkosh,WI,Titan Stadium,9800
Oshkosh,WI,Kolf Sports Center,5600
Oshkosh,WI,Menominee Nation Arena,3500
Ottawa,ON,TD Place Stadium,24000
Ottawa,ON,Canadian Tire Centre,17373
Ottawa,ON,RCGT Park,10332
Ottawa,ON,TD Place Arena,9862
Owensboro,KY,Owensboro Sportscenter,4817
Oxford,MS,Hemingway Stadium,64038
Oxford,MS,University Stadium,10715
Oxford,MS,The Pavilion at Ole Miss,9500
Oxford,OH,Yager Stadium,24286
 Oxford,OH,Millett Hall,6400
 Oxford,OH,Steve Cady Arena,3642
Palo Alto,CA,Stanford Stadium,50424
Palo Alto,CA,Maples Pavilion,7233
Paoli,IN,Paoli Gymnasium,4200
Papillion,NE,Werner Park,9023
Park City,KS,Hartman Arena,5000
Pasadena,CA,Rose Bowl,91136
Pasco,WA,Gesa Stadium,3700
Pawtucket,RI,McCoy Stadium,10031
Pearl,MS,Trustmark Park,8480
Pelham,AL,Pelham Civic Complex,4100
Pensacola,FL,Pensacola Bay Center,8150
Pensacola,FL,Blue Wahoos Stadium,5038
Penticton,BC,South Okanagan Events Centre,4701
Peoria,AZ,Peoria Sports Complex,7833
Peoria,IL,Carver Arena,11164
Peoria,IL,Dozer Park,7500
Peoria,IL,Renaissance Coliseum,4200
Peterborough,ON,Peterborough Memorial Centre,3729
Philadelphia,PA,Lincoln Financial Field,69596
Philadelphia,PA,Franklin Field,52593
 Philadelphia,PA,Citizens Bank Park,43035
Philadelphia,PA,Wells Fargo Center,19543
Philadelphia,PA,Liacouras Center,10206
Philadelphia,PA,The Palestra,8722
Philadelphia,PA,Hagan Arena,4200
Philadelphia,PA,McGonigle Hall,3900
Philadelphia,PA,Tom Gola Arena,3400
Phoenix,AZ,Chase Field,48686
Phoenix,AZ,Talking Stick Resort Arena,18422
Phoenix,AZ,American Family Fields of Phoenix,8000
Phoenix,AZ,GCU Arena,7000
Phoenix,AZ,Phoenix Municipal Stadium,5300
Phoenix,AZ,GCU Ballpark,3500
Pikeville,KY,Eastern Kentucky Expo Center,5272
Pine Bluff,AR,Golden Lion Stadium,14500
Pine Bluff,AR,H.O. Clemmons Arena,4500
Pineville,LA,H.O. West Fieldhouse,4800
Piqua,OH,Alexander Stadium,8200
Piscataway,NJ,SHI Stadium,52454
Piscataway,NJ,Rutgers Athletic Center,8000
Pittsburgh,PA,Heinz Field,68400
Pittsburgh,PA,PNC Park,38362
Pittsburgh,PA,PPG Paints Arena,18387
Pittsburgh,PA,Petersen Events Center,12508
Pittsburgh,PA,Fitzgerald Field House,6798
Pittsfield,MA,Wahconah Park,4500
Platteville,WI,Pioneer Stadium,10000
Plymouth,MI,USA Hockey Arena,3504
Pocatello,ID,Holt Arena,11767
Portales,NM,Greyhound Arena,4800
Port Charlotte,FL,Charlotte Sports Park,6000
Portland,ME,Hadlock Field,7368
Portland,ME,Cross Insurance Arena,6435
Portland,OR,Providence Park,25218
Portland,OR,Moda Center,19980
Portland,OR,Veterans Memorial Coliseum,10095
Portland,OR,Chiles Center,4852
Port St. Lucie,FL,First Data Field,7160
Pottsville,PA,Martz Hall,4100
Prairie View,TX,Panther Stadium,15000
Prairie View,TX,William Nicks Building,3500
Prince George,BC,CN Centre,5971
Princess Anne,MD,Hytche Athletic Center,5500
Princeton,NJ,Princeton Stadium,27800
Princeton,NJ,Jadwin Gymnasium,6854
Prescott Valley,AZ,Findlay Toyota Center,5100
Providence,RI,Brown Stadium,20000
Providence,RI,Dunkin’ Donuts Center,11273
Provo,UT,LaVell Edwards Stadium,63470
Provo,UT,Marriott Center,18987
Provo,UT,Smith Fieldhouse,5000
Pueblo,CO,Massari Arena,3900
Pullman,WA,Martin Stadium,32952
Pullman,WA,Beasley Coliseum,11671
Pullman,WA,Brayton Field,3500
Québec City,QC,Videotron Centre,18259
Québec City,QC,Canac Stadium,4800
Queens,NY,Citi Field,41922
Queens,NY,Arthur Ashe Stadium,23771
Queens,NY,Louis Armstrong Stadium,14053
Queens,NY,Grandstand,8125
Queens,NY,Carnesecca Arena,5602
Queens,NY,Jack Kaiser Stadium,3500
Raleigh,NC,Finley Stadium,57600
Raleigh,NC,PNC Arena,18680
Raleigh,NC,Reynolds Coliseum,5500
Ralston,NE,Ralston Arena,4000
Ramapo,NY,Palisades Credit Union Park,4500
Rancho Cucamonga,CA,LoanMart Field,6588
Rapid City,SD,Don Barnett Arena,9400
Rapid City,SD,Rushmore Plaza Civic Center,5127
Reading,PA,FirstEnergy Stadium,9000
Reading,PA,Santander Arena,7200
Red Deer,AB,ENMAX Centrium,6000
Regina,SK,Mosaic Stadium,33000
Regina,SK,Brandt Centre,6484
Reno,NV,Mackay Stadium,30000
Reno,NV,Lawlor Events Center,11536
Reno,NV,Greater Nevada Field,9013
Richfield,UT,Sevier Valley Center,4144
Richmond,KY,Roy Kidd Stadium,20000
Richmond,KY,McBrayer Arena,6500
Richmond,VA,City Stadium,22611
Richmond,VA,Hovey Field,10000
Richmond,VA,The Diamond,9560
Richmond,VA,Robins Stadium,8700
Richmond,VA,Siegel Center,7637
Richmond,VA,Robins Center,7201
Rimouski,QC,Sun Life Financial Coliseum,4156
Rio Rancho,NM,Santa Ana Star Center,6000
Riverside,CA,CBU Events Center,5050
Roanoke,VA,Berglund Center,7752
Rochester Hills,MI,Athletics Center O’rena,4000
Rochester,MN,Mayo Civic Center,5200
Rochester,NY,Blue Cross Arena,10662
Rochester,NY,Frontier Field,10840
Rockford,IL,BMO Harris Bank Center,5895
Rock Hill,SC,Winthrop Coliseum,6100
Rome,GA,State Mutual Stadium,5105
Rosemont,IL,Allstate Arena,16692
Rosemont,IL,Impact Field,6300
Round Rock,TX,Dell Diamond,8631
Russellville,AR,Tucker Coliseum,3500
Ruston,LA,Joe Aillet Stadium,28019
Ruston,LA,Thomas Assembly Center,8000
Sacramento,CA,Hughes Stadium,23000
Sacramento,CA,Hornet Stadium,21195
Sacramento,CA,Golden1 Center,17500
Sacramento,CA,Papa Murphy’s Park,11442
Saginaw,MI,Dow Event Center,4213
Saint John,NB,TD Station,5990
Salem,VA,Salem Memorial Ballpark,5875
Salem,VA,Salem Civic Center,5000
Salina,KS,Tony’s Pizza Event Center,4965
Salisbury,MD,Arthur W. Perdue Stadium,5200
Salt Lake City,UT,Eccles Stadium,45807
Salt Lake City,UT,Vivint Smart Home Arena,18300
Salt Lake City,UT,Smith’s Ballpark,15334
Salt Lake City,UT,Jon M. Huntsman Center,15000
San Angelo,TX,Stephens Arena,5500
San Angelo,TX,Foster Field,4200
 San Antonio,TX,Alamodome,65000
San Antonio,TX,AT&T Center,18581
San Antonio,TX,Toyota Field,8400
San Antonio,TX,Nelson Wolff Municipal Stadium,6200
San Antonio,TX,Bill Greehey Arena,3800
San Bernardino,CA,San Manuel Stadium,5000
San Bernardino,CA,Coussoulis Arena,4140
San Bernardino,CA,Fiscalini Field,3600
San Diego,CA,SDCCU Stadium,70561
San Diego,CA,Petco Park,40209
San Diego,CA,Pechanga Arena,12920
San Diego,CA,Viejas Arena,12414
San Diego,CA,Jenny Craig Pavilion,5100
San Diego,CA,RIMAC Arena,5000
Sandy,UT,Rio Tinto Stadium,20000
San Francisco,CA,Oracle Park,41915
San Francisco,CA,Chase Center,18064
San Francisco,CA,Kezar Stadium,9044
San Francisco,CA,Kezar Pavilion,4000
San Jose,CA,CEFCU Stadium,30456
 San Jose,CA,Earthquakes Stadium,18000
San Jose,CA,SAP Center at San Jose,17562
San Jose,CA,Municipal Stadium,5200
 San Jose,CA,The Event Center,5000
San Luis Obispo,CA,Alex G. Spanos Stadium,11075
San Marcos,TX,Bobcat Stadium,30000
San Marcos,TX,Strahan Arena,10000
Santa Clara,CA,Levi’s Stadium,68500
Santa Clara,CA,Leavey Center,4700
Sarasota,FL,Ed Smith Stadium,7500
Sarnia,ON,Progressive Auto Sales Arena,3781
Saskatoon,SK,SaskTel Centre,15195
Sauget,IL,GCS Ballpark,6000
Sault Ste. Marie,MI,Taffy Abel Arena,4218
Sault Ste. Marie,ON,GFL Memorial Gardens,4928
Savannah,GA,Theodore A. Wright Stadium,8500
Savannah,GA,Tiger Arena,6000
Savannah,GA,Grayson Stadium,4000
Schaumburg,IL,Schaumburg Boomers Stadium,6465
Scottsdale,AZ,Scottsdale Stadium,8188
Scottsdale,AZ,Salt River Fields at Talking Stick,7000
Seattle,WA,Husky Stadium,70138
Seattle,WA,CenturyLink Field,67000
Seattle,WA,Mobile Park,47898
Seattle,WA,Alaska Airlines Arena,10000
Seymour,IN,Lloyd E. Scott Gym,8228
Shawinigan,QC,Gervais Auto Centre,4350
Shenandoah,TX,Woodforest Bank Stadium,9600
Sherbrooke,QC,Leopold Drolet Sports Palace,3718
Shreveport,LA,Independence Stadium,49565
Shreveport,LA,Hirsch Coliseum,4000
Sioux City,IA,Gateway Arena,5800
Sioux City,IA,Lewis & Clark Park,3800
Sioux Falls,SD,Denny Sanford Premier Center,10678
Sioux Falls,SD,Sioux Falls Stadium,4462
Sioux Falls,SD,Sioux Falls Arena,4066
Sioux Falls,SD,Elmen Center,4000
Slippery Rock,PA,Thompson Stadium,10000
Snyder,TX,The Coliseum,3890
Southaven,MS,Landers Center,8400
South Bend,IN,Notre Dame Stadium,78500
South Bend,IN,Purcell Pavilion at Joyce Center,9149
South Bend,IN,Compton Family Ice Arena,5022
South Bend,IN,Four Winds Field,5000
S. Williamsport,PA,Howard J. Lamade Stadium,10000
S. Williamsport,PA,Volunteer Stadium,5000
Spartanburg,SC,Gibbs Stadium,13000
Spokane,WA,Albi Stadium,28646
Spokane,WA,Spokane Arena,10366
Spokane,WA,Avista Stadium,6752
Spokane,WA,McCarthey Athletic Center,6000
Springdale,AR,Arvest Ballpark,6500
Springfield,IL,Bank of Springfield Center,7700
Springfield,IL,Robin Roberts Stadium,5200
Springfield,MA,MassMutual Center,6793
Springfield,MO,Robert W. Plaster Stadium,17500
Springfield,MO,JQH Arena,11000
Springfield,MO,Hammons Student Center,8846
Springfield,MO,Hammons Field,7986
St. Catharines,ON,Meridian Centre,5300
St. Charles,MO,Family Arena,10000
St. Cloud,MN,Halenbeck Hall,6927
St. Cloud,MN,Herb Brooks National Hockey Center,5159
St. George,UT,Burns Arena,4779
St. John's,NF,Mile One Centre,6750
St. Joseph,MO,St. Joseph Civic Arena,3800
St. Joseph,MO,Phil Welch Stadium,3600
St. Louis,MO,Busch Stadium,45529
St. Louis,MO,The Dome at America’s Center,66965
St. Louis,MO,Enterprise Center,18400
St. Louis,MO,Chaifetz Arena,10600
St. Louis,MO,Mark Twain Building,3700
St. Paul,MN,Allianz Field,19400
St. Paul,MN,Xcel Energy Center,17954
St. Paul,MN,CHS Field,7000
St. Peter,MN,Gus Young Court,3500
St. Petersburg,FL,Tropicana Field,42735
Starkville,MS,Davis Wade Stadium,61337
Starkville,MS,Dudy Noble Field,15000
Starkville,MS,Humphrey Coliseum,10575
State College,PA,Beaver Stadium,106572
State College,PA,Bryce Jordan Center,15261
State College,PA,Rec Hall,5812
State College,PA,Pegula Ice Arena,5704
State College,PA,Medlar Field at Lubrano Park,5570
Staten Island,NY,Richmond County Bank Ballpark,7171
Statesboro,GA,Allen E. Paulson Stadium,25000
Statesboro,GA,Hanner Fieldhouse,3897
Stephenville,TX,Tarleton Memorial Stadium,9000
Stillwater,OK,Boone Pickens Stadium,56790
Stillwater,OK,Iba Arena,13611
Stillwater,OK,O’Brate Stadium,4000
Stockton,CA,Stockton Arena,9793
Stockton,CA,Alex G. Spanos Center,6150
Stockton,CA,Banner Island Ballpark,5200
Stony Brook,NY,Kenneth P. LaValle Stadium,12300
Stony Brook,NY,Island Federal Credit Union Arena,4009
Storrs,CT,Gampel Pavilion,10167
Sudbury,ON,Sudbury Arena,4640
Sugar Land,TX,Constellation Field,7500
Sunrise,FL,BB&T Center,19250
Surprise,AZ,Surprise Stadium,7500
Sydney,NS,Centre 200,5010
Syracuse,NY,Carrier Dome,49262
Syracuse,NY,NBT Bank Stadium,11071
Syracuse,NY,War Memorial Arena,6110
Tacoma,WA,Tacoma Dome,20722
Tacoma,WA,Cheney Stadium,6800
Tacoma,WA,Memorial Fieldhouse,5400
Tahlequah,OK,Doc Wadley Stadium,8300
Tallahassee,FL,Doak Campbell Stadium,79560
 Tallahassee,FL,Bragg Memorial Stadium,25500
 Tallahassee,FL,Donald L. Tucker Center,12100
 Tallahassee,FL,Al Lawson Center,9639
Tallahassee,FL,Dick Howser Stadium,6700
Tampa,FL,Raymond James Stadium,65890
Tampa,FL,Amalie Arena,19204
Tampa,FL,Steinbrenner Field,11000
Tampa,FL,Yuengling Center,10411
Taylorsville,UT,Bruin Arena,5000
Tempe,AZ,Sun Devil Stadium,55000
Tempe,AZ,Desert Financial Arena,14198
Tempe,AZ,Tempe Diablo Stadium,7015
Terre Haute,IN,Memorial Stadium,12764
Terre Haute,IN,Hulman Center,10200
Thief River Falls,MN,Ralph Engelstad Arena,3593
Thibodaux,LA,John L. Guidry Stadium,10500
Thibodaux,LA,David R. Stopher Gym,3800
Thunder Bay,ON,Fort Williams Gardens,3477
Toledo,OH,Glass Bowl,26038
Toledo,OH,Fifth Third Field,8943
Toledo,OH,Huntington Center,7389
Toledo,OH,John F. Savage Arena,7014
Topeka,KS,Landon Arena,7450
Topeka,KS,Lee Arena,3904
Toronto,ON,Rogers Centre,49282
Toronto,ON,BMO Field,30000
Toronto,ON,Scotiabank Arena,18819
Toronto,ON,Aviva Centre,8000
Toronto,ON,Lamport Stadium,9600
Toronto,ON,Cola Coliseum,7851
Towson,MD,Johnny Unitas Stadium,11198
Towson,MD,SECU Arena,5200
Traverse City,MI,Turtle Creek Stadium,3518
Trenton,NJ,Cure Insurance Arena,8100
Trenton,NJ,Arm & Hammer Park,6120
Trois-Rivieres,QC,Quillorama Stadium,4500
Troy,AL,Veterans Memorial Stadium,30000
Troy,AL,Trojan Arena,5200
Troy,NY,Houston Field House,4800
Troy,NY,Joseph L. Bruno Stadium,4500
Tucson,AZ,Arizona Stadium,50782
Tucson,AZ,McKale Center,14644
Tucson,AZ,Hi Corbett Field,9500
Tucson,AZ,Tucson Arena,6791
Tulsa,OK,Skelly Field at H.A. Chapman Stadium,30000
Tulsa,OK,BOK Center,17096
Tulsa,OK,Mabee Center,10575
Tulsa,OK,Donald W. Reynolds Center,8355
Tulsa,OK,ONEOK Field,7833
Tulsa,OK,Union Multipurpose Activity Center,5600
Tuscaloosa,AL,Denny Stadium,101821
Tuscaloosa,AL,Coleman Coliseum,15383
Tuscaloosa,AL,Stillman Stadium,9000
Tuscaloosa,AL,Thomas Stadium,5867
Tuscaloosa,AL,Foster Auditorium,3800
Tuskegee,AL,Abbott Memorial Alumni Stadium,10000
Tuskegee,AL,James Center Arena,5000
Uncasville,CT,Mohegan Sun Arena,9323
Uniondale,NY, Nassau Coliseum,13917
Utica,NY,Donovan Stadium,4000
Utica,NY,Adirondack Bank Center,3917
Valdosta,GA,Hyder Stadium,10100
Valdosta,GA,The Complex,5350
Valparaiso,IN,Recreation Center,5000
Vancouver,BC,BC Place,54500
Vancouver,BC,Rogers Arena,18865
Vancouver,BC,Nat Bailey Stadium,5132
Vermillion,SD,DakotaDome,10000
Vermillion,SD,Sanford Coyote Sports Center,6000
Vestal,NY,Events Center,5142
Vero Beach,FL,Holman Stadium,6500
Victoria,BC,Foods Memorial Centre,7006
Victoria,BC,Royal Athletic Park,5700
